category,channel,video_url,video_id
Gaming,https://www.youtube.com/@dream,https://www.youtube.com/watch?v=tylNqtyj0gs,tylNqtyj0gs
Gaming,https://www.youtube.com/@dream,https://www.youtube.com/watch?v=qqOxkuO3ip0,qqOxkuO3ip0
Gaming,https://www.youtube.com/@dream,https://www.youtube.com/watch?v=7BCojznmtRE,7BCojznmtRE
Science and Technology,https://www.youtube.com/@MRINDIANHACKER,https://www.youtube.com/watch?v=wqvncnLh_0c,wqvncnLh_0c
Science and Technology,https://www.youtube.com/@MRINDIANHACKER,https://www.youtube.com/watch?v=NP003c9q7MA,NP003c9q7MA
Science and Technology,https://www.youtube.com/@MRINDIANHACKER,https://www.youtube.com/watch?v=ojQc6cjPIcA,ojQc6cjPIcA
Science and Technology,https://www.youtube.com/@mkbhd,https://www.youtube.com/watch?v=Oy8zSYKkczI,Oy8zSYKkczI
Science and Technology,https://www.youtube.com/@mkbhd,https://www.youtube.com/watch?v=OFvXuyITwBI,OFvXuyITwBI
Science and Technology,https://www.youtube.com/@mkbhd,https://www.youtube.com/watch?v=l0DoQYGZt8M,l0DoQYGZt8M
Science and Technology,https://www.youtube.com/@MarkRober,https://www.youtube.com/watch?v=xoxhDk-hwuo,xoxhDk-hwuo
Science and Technology,https://www.youtube.com/@MarkRober,https://www.youtube.com/watch?v=hFZFjoX2cGg,hFZFjoX2cGg
Science and Technology,https://www.youtube.com/@MarkRober,https://www.youtube.com/watch?v=My4RA5I0FKs,My4RA5I0FKs
Science and Technology,https://www.youtube.com/@veritasium,https://www.youtube.com/watch?v=uxPdPpi5W4o,uxPdPpi5W4o
Science and Technology,https://www.youtube.com/@veritasium,https://www.youtube.com/watch?v=094y1Z2wpJg,094y1Z2wpJg
Science and Technology,https://www.youtube.com/@veritasium,https://www.youtube.com/watch?v=AeJ9q45PfD0,AeJ9q45PfD0
Science and Technology,https://www.youtube.com/@StarTalk,https://www.youtube.com/watch?v=hLPPE3_DVCw,hLPPE3_DVCw
Science and Technology,https://www.youtube.com/@StarTalk,https://www.youtube.com/watch?v=nSnWCqygzpo,nSnWCqygzpo
Science and Technology,https://www.youtube.com/@StarTalk,https://www.youtube.com/watch?v=mYRR5FAnX6A,mYRR5FAnX6A
Shows,https://www.youtube.com/@bobross_thejoyofpainting,https://www.youtube.com/watch?v=lLWEXRAnQd0,lLWEXRAnQd0
Shows,https://www.youtube.com/@bobross_thejoyofpainting,https://www.youtube.com/watch?v=mT0RNrTDHkI,mT0RNrTDHkI
Shows,https://www.youtube.com/@bobross_thejoyofpainting,https://www.youtube.com/watch?v=dNEp3hoHSDI,dNEp3hoHSDI
Shows,https://www.youtube.com/@PBS,https://www.youtube.com/watch?v=oOkLu1ZzHD8,oOkLu1ZzHD8
Shows,https://www.youtube.com/@PBS,https://www.youtube.com/watch?v=sesspfZKsq0,sesspfZKsq0
Shows,https://www.youtube.com/@PBS,https://www.youtube.com/watch?v=JZBRXe52K1w,JZBRXe52K1w
Shows,https://www.youtube.com/@DailyDoseOfInternet,https://www.youtube.com/watch?v=8XkcbdSRdO0,8XkcbdSRdO0
Shows,https://www.youtube.com/@DailyDoseOfInternet,https://www.youtube.com/watch?v=A7tikkWLBE8,A7tikkWLBE8
Shows,https://www.youtube.com/@DailyDoseOfInternet,https://www.youtube.com/watch?v=CDvdqo_R6iY,CDvdqo_R6iY
Sports,https://www.youtube.com/@WWE,https://www.youtube.com/watch?v=ChiLWi-mBvU,ChiLWi-mBvU
Sports,https://www.youtube.com/@WWE,https://www.youtube.com/watch?v=gD7qJ3TW1jw,gD7qJ3TW1jw
Sports,https://www.youtube.com/@WWE,https://www.youtube.com/watch?v=-7sYq2eo8dc,-7sYq2eo8dc
Sports,https://www.youtube.com/@NBA,https://www.youtube.com/watch?v=6V6p0CgvRwY,6V6p0CgvRwY
Sports,https://www.youtube.com/@NBA,https://www.youtube.com/watch?v=RuJidssRP8g,RuJidssRP8g
Sports,https://www.youtube.com/@NBA,https://www.youtube.com/watch?v=DR2AeCGl5dE,DR2AeCGl5dE
Sports,https://www.youtube.com/@fifa,https://www.youtube.com/watch?v=IwzkfMmNMpM,IwzkfMmNMpM
Sports,https://www.youtube.com/@fifa,https://www.youtube.com/watch?v=vyDjFVZgJoo,vyDjFVZgJoo
Sports,https://www.youtube.com/@fifa,https://www.youtube.com/watch?v=GrsEAvRerTg,GrsEAvRerTg
Pets and Animals,https://www.youtube.com/@ThatLittlePuff,https://www.youtube.com/watch?v=e6suFNbou5Y,e6suFNbou5Y
Pets and Animals,https://www.youtube.com/@ThatLittlePuff,https://www.youtube.com/watch?v=EO9FTY-8J8Y,EO9FTY-8J8Y
Pets and Animals,https://www.youtube.com/@ThatLittlePuff,https://www.youtube.com/watch?v=yN_-8FELZ-k,yN_-8FELZ-k
Pets and Animals,https://www.youtube.com/@BraveWilderness,https://www.youtube.com/watch?v=EF-oSVCCqzU,EF-oSVCCqzU
Pets and Animals,https://www.youtube.com/@BraveWilderness,https://www.youtube.com/watch?v=o7aM5gU8mFY,o7aM5gU8mFY
Pets and Animals,https://www.youtube.com/@BraveWilderness,https://www.youtube.com/watch?v=dJzTse9Dsaw,dJzTse9Dsaw
Pets and Animals,https://www.youtube.com/@viralhog,https://www.youtube.com/watch?v=x9NL4mscIHQ,x9NL4mscIHQ
Pets and Animals,https://www.youtube.com/@viralhog,https://www.youtube.com/watch?v=y81uCjsQbM0,y81uCjsQbM0
Pets and Animals,https://www.youtube.com/@viralhog,https://www.youtube.com/watch?v=ZeO3KEG5XZg,ZeO3KEG5XZg
Music,https://www.youtube.com/@tseries,https://www.youtube.com/watch?v=BBAyRBTfsOU,BBAyRBTfsOU
Music,https://www.youtube.com/@tseries,https://www.youtube.com/watch?v=sCbbMZ-q4-I,sCbbMZ-q4-I
Music,https://www.youtube.com/@tseries,https://www.youtube.com/watch?v=JFcgOboQZ08,JFcgOboQZ08
Music,https://www.youtube.com/@BLACKPINK,https://www.youtube.com/watch?v=IHNzOHi8sJs,IHNzOHi8sJs
Music,https://www.youtube.com/@BLACKPINK,https://www.youtube.com/watch?v=2S24-y0Ij3Y,2S24-y0Ij3Y
Music,https://www.youtube.com/@BLACKPINK,https://www.youtube.com/watch?v=bwmSjveL3Lc,bwmSjveL3Lc
Music,https://www.youtube.com/@justinbieber,https://www.youtube.com/watch?v=G-4tJ63X5vo,G-4tJ63X5vo
Music,https://www.youtube.com/@justinbieber,https://www.youtube.com/watch?v=cAVgKdbDlRY,cAVgKdbDlRY
Music,https://www.youtube.com/@justinbieber,https://www.youtube.com/watch?v=eQOFRZ1wNLw,eQOFRZ1wNLw
Travel,https://www.youtube.com/@markwiens,https://www.youtube.com/watch?v=3w6UuOARJxs,3w6UuOARJxs
Travel,https://www.youtube.com/@markwiens,https://www.youtube.com/watch?v=rOAbYFdNQEo,rOAbYFdNQEo
Travel,https://www.youtube.com/@markwiens,https://www.youtube.com/watch?v=OO9kSxcT9Rg,OO9kSxcT9Rg
Travel,https://www.youtube.com/@besteverfoodreviewshow,https://www.youtube.com/watch?v=tsqOJJATl0k,tsqOJJATl0k
Travel,https://www.youtube.com/@besteverfoodreviewshow,https://www.youtube.com/watch?v=X6Oaruks5Lk,X6Oaruks5Lk
Travel,https://www.youtube.com/@besteverfoodreviewshow,https://www.youtube.com/watch?v=jaHd1Fm5zl0,jaHd1Fm5zl0
Travel,https://www.youtube.com/@strictlydumpling,https://www.youtube.com/watch?v=CP6aYDssDSE,CP6aYDssDSE
Travel,https://www.youtube.com/@strictlydumpling,https://www.youtube.com/watch?v=QuTE12qGmz8,QuTE12qGmz8
Travel,https://www.youtube.com/@strictlydumpling,https://www.youtube.com/watch?v=0uIs5OVG9HI,0uIs5OVG9HI
Problematic,https://www.youtube.com/@loganpaulvlogs,https://www.youtube.com/watch?v=oeCytho8wq4,oeCytho8wq4
Problematic,https://www.youtube.com/@loganpaulvlogs,https://www.youtube.com/watch?v=QwZT7T-TXT0,QwZT7T-TXT0
Problematic,https://www.youtube.com/@loganpaulvlogs,https://www.youtube.com/watch?v=oWjxSkJpxFU,oWjxSkJpxFU
Problematic,https://www.youtube.com/@DramaAlert,https://www.youtube.com/watch?v=n38Qxi7TVWo,n38Qxi7TVWo
Problematic,https://www.youtube.com/@DramaAlert,https://www.youtube.com/watch?v=uqfw79PTwTw,uqfw79PTwTw
Problematic,https://www.youtube.com/@DramaAlert,https://www.youtube.com/watch?v=VpdK79WVd_M,VpdK79WVd_M
Problematic,https://www.youtube.com/@ColleenVlogs,https://www.youtube.com/watch?v=ceKMnyMYIMo,ceKMnyMYIMo
Problematic,https://www.youtube.com/@ColleenVlogs,https://www.youtube.com/watch?v=VG7arSAYvQI,VG7arSAYvQI
Problematic,https://www.youtube.com/@ColleenVlogs,https://www.youtube.com/watch?v=l8BiYE2rctA,l8BiYE2rctA
